uuid,index,actor,file_path,last_updated_timestamp,state,additional_info,run_uuid,site_id,data_dir,process_id
08efa594-c53a-4c23-926e-b1c935a0752d,0,toanngosy,scenarios/rocky_rr_data_07302025.yaml,2025-07-30 10:29:07,0,pending,,RR-009,$HOME/ONEFlux/data/RoundRobin_input/RR-009,
08efa594-c53a-4c23-926e-b1c935a0752d,1,toanngosy,scenarios/rocky_rr_data_07302025.yaml,2025-07-30 10:29:07,0,pending,,RR-010,$HOME/ONEFlux/data/RoundRobin_input/RR-010,
3a034730-437d-42d1-8682-3f7f4162004e,6,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-28 09:10:25,2,report/RR-007/REPORT_e5ebdccf-330e-4bed-ab74-b5834c7385e9.log,e5ebdccf-330e-4bed-ab74-b5834c7385e9,RR-007,$HOME/ONEFlux/data/RoundRobin_input/RR-007,98261.0
3a034730-437d-42d1-8682-3f7f4162004e,2,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-28 09:10:06,2,report/RR-003/REPORT_5cae10a4-1f9a-4f39-8617-22bc2325c526.log,5cae10a4-1f9a-4f39-8617-22bc2325c526,RR-003,$HOME/ONEFlux/data/RoundRobin_input/RR-003,97381.0
9b2d837a-552a-412a-b0f8-8e1d73375b5e,0,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 05:01:30,2,report/RR-001/REPORT_b303a183-22e0-4f3f-a8f4-3109ff5d3529.log,b303a183-22e0-4f3f-a8f4-3109ff5d3529,RR-001,$HOME/ONEFlux/data/RoundRobin_input/RR-001,95682.0
93597274-1ed2-4e65-bb36-4b7801786d12,0,toanngosy,scenarios/test_data.yaml,2025-07-24 05:01:11,2,report/US-ARc/REPORT_80a05a98-cdc0-4093-b3ba-a252b21a108c.log,80a05a98-cdc0-4093-b3ba-a252b21a108c,US-ARc,US-ARc_sample_output,95501.0
3a034730-437d-42d1-8682-3f7f4162004e,9,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 05:01:00,2,report/RR-010/REPORT_1612f4fb-09bd-481b-867f-2d154bf4cb77.log,1612f4fb-09bd-481b-867f-2d154bf4cb77,RR-010,$HOME/ONEFlux/data/RoundRobin_input/RR-010,99115.0
3a034730-437d-42d1-8682-3f7f4162004e,8,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 05:00:50,2,report/RR-009/REPORT_3a388fdc-588d-4d3f-9ef1-fb68bc866573.log,3a388fdc-588d-4d3f-9ef1-fb68bc866573,RR-009,$HOME/ONEFlux/data/RoundRobin_input/RR-009,98804.0
3a034730-437d-42d1-8682-3f7f4162004e,7,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 05:00:39,2,report/RR-008/REPORT_d1bf5fca-3f88-4ac0-abbf-2d3f990c4ed1.log,d1bf5fca-3f88-4ac0-abbf-2d3f990c4ed1,RR-008,$HOME/ONEFlux/data/RoundRobin_input/RR-008,98544.0
3a034730-437d-42d1-8682-3f7f4162004e,5,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 05:00:24,2,report/RR-006/REPORT_39bf8768-57dd-45bd-8b60-0e84cf31b414.log,39bf8768-57dd-45bd-8b60-0e84cf31b414,RR-006,$HOME/ONEFlux/data/RoundRobin_input/RR-006,98030.0
3a034730-437d-42d1-8682-3f7f4162004e,4,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 05:00:04,2,report/RR-005/REPORT_1282d5e4-f555-4245-adfd-e0acb978df31.log,1282d5e4-f555-4245-adfd-e0acb978df31,RR-005,$HOME/ONEFlux/data/RoundRobin_input/RR-005,97812.0
3a034730-437d-42d1-8682-3f7f4162004e,3,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 04:59:44,2,report/RR-004/REPORT_f83ca59b-0551-4b1b-a5cc-695c3916bd38.log,f83ca59b-0551-4b1b-a5cc-695c3916bd38,RR-004,$HOME/ONEFlux/data/RoundRobin_input/RR-004,97575.0
3a034730-437d-42d1-8682-3f7f4162004e,1,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 04:59:24,2,report/RR-002/REPORT_5a0ccd42-3d2c-4d43-bc71-87e18c03cc9b.log,5a0ccd42-3d2c-4d43-bc71-87e18c03cc9b,RR-002,$HOME/ONEFlux/data/RoundRobin_input/RR-002,97157.0
3a034730-437d-42d1-8682-3f7f4162004e,0,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-24 04:59:06,2,report/RR-001/REPORT_872cf872-857f-4f9c-b5bd-9565eed61c09.log,872cf872-857f-4f9c-b5bd-9565eed61c09,RR-001,$HOME/ONEFlux/data/RoundRobin_input/RR-001,96941.0
3a034730-437d-42d1-8682-3f7f4162004e,9,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-23 08:25:14,1,running,1612f4fb-09bd-481b-867f-2d154bf4cb77,RR-010,$HOME/ONEFlux/data/RoundRobin_input/RR-010,99115.0
3a034730-437d-42d1-8682-3f7f4162004e,8,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-23 08:25:11,1,running,3a388fdc-588d-4d3f-9ef1-fb68bc866573,RR-009,$HOME/ONEFlux/data/RoundRobin_input/RR-009,98804.0
3a034730-437d-42d1-8682-3f7f4162004e,7,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-23 08:25:08,1,running,d1bf5fca-3f88-4ac0-abbf-2d3f990c4ed1,RR-008,$HOME/ONEFlux/data/RoundRobin_input/RR-008,98544.0
3a034730-437d-42d1-8682-3f7f4162004e,6,toanngosy,scenarios/rocky_rr_data_07082025.yaml,2025-07-23 08:25:05,1,running,e5ebdccf-330e-4bed-ab74-b5834c7385e9,RR-007,$HOME/ONEFlux/data/RoundRobin_input/RR-007,98261.0
